timestamp,dpid,port_no,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_mbps,tx_mbps
2025-12-14 18:59:32,1,1,4,19,396,1734,0.0,0.0
2025-12-14 18:59:32,1,2,14,6,1292,552,0.0,0.0
2025-12-14 18:59:32,1,3,3,17,266,1578,0.0,0.0
2025-12-14 18:59:32,2,1,5,18,486,1648,0.0,0.0
2025-12-14 18:59:32,2,2,6,14,552,1292,0.0,0.0
2025-12-14 18:59:32,2,3,10,10,920,924,0.0,0.0
2025-12-14 18:59:32,6,1,3,18,286,1652,0.0,0.0
2025-12-14 18:59:32,6,2,16,4,1472,352,0.0,0.0
2025-12-14 18:59:32,3,1,4,19,396,1738,0.0,0.0
2025-12-14 18:59:32,3,2,10,10,924,920,0.0,0.0
2025-12-14 18:59:32,3,3,7,14,638,1296,0.0,0.0
2025-12-14 18:59:32,5,1,3,18,310,1668,0.0,0.0
2025-12-14 18:59:32,5,2,17,3,1578,266,0.0,0.0
2025-12-14 18:59:32,4,1,4,18,396,1652,0.0,0.0
2025-12-14 18:59:32,4,2,14,7,1296,638,0.0,0.0
2025-12-14 18:59:32,4,3,4,16,352,1472,0.0,0.0
2025-12-14 18:59:33,1,1,7,43,646,3730,0.002,0.016
2025-12-14 18:59:33,1,2,31,16,2702,1388,0.011,0.007
2025-12-14 18:59:33,1,3,7,39,602,3398,0.003,0.015
2025-12-14 18:59:33,2,1,7,43,646,3734,0.001,0.017
2025-12-14 18:59:33,2,2,16,31,1388,2702,0.007,0.011
2025-12-14 18:59:33,2,3,25,25,2170,2170,0.01,0.01
2025-12-14 18:59:33,5,1,4,42,396,3648,0.001,0.016
2025-12-14 18:59:33,5,2,39,7,3398,602,0.015,0.003
2025-12-14 18:59:33,6,1,7,44,646,3808,0.003,0.017
2025-12-14 18:59:33,6,2,40,10,3468,872,0.016,0.004
2025-12-14 18:59:33,3,1,6,46,556,3984,0.001,0.018
2025-12-14 18:59:33,3,2,25,25,2170,2170,0.01,0.01
2025-12-14 18:59:33,3,3,17,33,1478,2862,0.007,0.013
2025-12-14 18:59:33,4,1,6,46,556,3988,0.001,0.019
2025-12-14 18:59:33,4,2,33,17,2862,1478,0.013,0.007
2025-12-14 18:59:33,4,3,10,40,872,3468,0.004,0.016
2025-12-14 18:59:34,1,1,7,55,646,4770,0.0,0.008
2025-12-14 18:59:34,1,2,40,19,3492,1638,0.006,0.002
2025-12-14 18:59:34,1,3,10,49,852,4278,0.002,0.007
2025-12-14 18:59:34,6,1,7,53,646,4598,0.0,0.006
2025-12-14 18:59:34,6,2,48,11,4168,962,0.006,0.001
2025-12-14 18:59:34,3,1,7,54,646,4684,0.001,0.006
2025-12-14 18:59:34,3,2,29,30,2510,2620,0.003,0.004
2025-12-14 18:59:34,3,3,20,39,1748,3382,0.002,0.004
2025-12-14 18:59:34,5,1,7,53,646,4618,0.002,0.008
2025-12-14 18:59:34,5,2,49,10,4278,852,0.007,0.002
2025-12-14 18:59:34,4,1,7,53,646,4598,0.001,0.005
2025-12-14 18:59:34,4,2,39,20,3382,1748,0.004,0.002
